Total number of words: 29290
Word Frequencies:
960. play,: 3
961. deuce: 3
962. way?": 3
963. "Remember: 3
964. fervour;: 3
965. Baba!": 3
966. ecstasy.: 3
967. dead,: 3
968. signed: 3
969. door-nail.: 3
970. mention: 3
971. started: 3
972. wind,: 3
973. weak: 3
974. warehouse: 3
975. Marley.: 3
976. sometimes: 3
977. influence: 3
978. falling: 3
979. intent: 3
980. you?: 3
981. place,: 3
982. warning: 3
983. distance,: 3
984. knowing: 3
985. call: 3
986. court: 3
987. feet: 3
988. pavement: 3
989. warm: 3
990. air.: 3
991. pouring: 3
992. houses: 3
993. nature: 3
994. counting-house: 3
995. sort: 3
996. rapid: 3
997. walking: 3
998. smoked: 3
999. uncle!": 3
1000. You're: 3
1001. then,": 3
1002. uncle,: 3
1003. Christmas-time: 3
1004. year: 3
1005. goes: 3
1006. buried: 3
1007. heart.: 3
1008. uncle: 3
1009. repeated: 3
1010. leave: 3
1011. alone,: 3
1012. dare: 3
1013. nephew;: 3
1014. belonging: 3
1015. kind,: 3
1016. gold: 3
1017. silver: 3
1018. immediately: 3
1019. you'll: 3
1020. indeed: 3
1021. first.: 3
1022. "Because: 3
1023. growled: 3
1024. afternoon!": 3
1025. you;: 3
1026. quarrel: 3
1027. season: 3
1028. who,: 3
1029. fifteen: 3
1030. wife: 3
1031. family,: 3
1032. Marley's,: 3
1033. replied.: 3
1034. "We: 3
1035. was;: 3
1036. "At: 3
1037. pen,: 3
1038. slight: 3
1039. present: 3
1040. common: 3
1041. not.": 3
1042. glad: 3
1043. Christian: 3
1044. endeavouring: 3
1045. answer.: 3
1046. there;: 3
1047. die.": 3
1048. surplus: 3
1049. returned.: 3
1050. conduct: 3
1051. way.: 3
1052. faces: 3
1053. do.: 3
1054. Lord: 3
1055. mighty: 3
1056. baby: 3
1057. cold.: 3
1058. With: 3
1059. fact: 3
1060. instantly: 3
1061. candle: 3
1062. ill: 3
1063. used,: 3
1064. ends: 3
1065. waist: 3
1066. honour: 3
1067. blindman's: 3
1068. read: 3
1069. houses,: 3
1070. forgotten: 3
1071. rooms: 3
1072. mournful: 3
1073. Now,: 3
1074. partner: 3
1075. were,: 3
1076. curiously: 3
1077. horror: 3
1078. spite: 3
1079. terrible: 3
1080. _did_: 3
1081. pause,: 3
1082. door;: 3
1083. wine: 3
1084. below,: 3
1085. hall,: 3
1086. six: 3
1087. well,: 3
1088. pretty: 3
1089. right.: 3
1090. locked: 3
1091. least: 3
1092. fragments: 3
1093. thoughts,: 3
1094. threw: 3
1095. purpose: 3
1096. astonishment,: 3
1097. strange,: 3
1098. minute,: 3
1099. hour.: 3
1100. together.: 3
1101. succeeded: 3
1102. noise: 3
1103. won't: 3
1104. cried,: 3
1105. waistcoat,: 3
1106. latter: 3
1107. observing: 3
1108. believed: 3
1109. through,: 3
1110. raising: 3
1111. partner,: 3
1112. "Do: 3
1113. whether: 3
1114. me,": 3
1115. makes: 3
1116. bit: 3
1117. are!": 3
1118. then.: 3
1119. cry,: 3
1120. tight: 3
1121. worldly: 3
1122. "that: 3
1123. Again: 3
1124. shadowy: 3
1125. trembling.: 3
1126. trembled: 3
1127. more!: 3
1128. conveyed: 3
1129. whenever: 3
1130. slow: 3
1131. quantity: 3
1132. working: 3
1133. short: 3
1134. vast: 3
1135. space: 3
1136. apply: 3
1137. business.: 3
1138. blessed: 3
1139. led: 3
1140. me!: 3
1141. see,: 3
1142. "That: 3
1143. friend: 3
1144. almost: 3
1145. Ghost's: 3
1146. to-morrow: 3
1147. once,: 3
1148. stroke: 3
1149. more;: 3
1150. remember: 3
1151. before.: 3
1152. supernatural: 3
1153. arm.: 3
1154. listening: 3
1155. restless: 3
1156. wretched: 3
1157. sought: 3
1158. lost: 3
1159. mist: 3
1160. voices: 3
1161. home.: 3
1162. THREE: 3
1163. SPIRITS: 3
1164. walls: 3
1165. wrong.: 3
1166. spring: 3
1167. pulse: 3
1168. world.: 3
1169. become: 3
1170. think,: 3
1171. Heaven,: 3
1172. broke: 3
1173. starting: 3
1174. green: 3
1175. summer: 3
1176. extinguisher: 3
1177. cap,: 3
1178. another,: 3
1179. figure: 3
1180. gloom: 3
1181. sir,: 3
1182. "No.: 3
1183. begged: 3
1184. life.: 3
1185. end.: 3
1186. robe: 3
1187. city: 3
1188. seen.: 3
1189. here!": 3
1190. air,: 3
1191. connected: 3
1192. us.": 3
1193. broken: 3
1194. bare,: 3
1195. deal: 3
1196. form,: 3
1197. younger: 3
1198. self,: 3
1199. foreign: 3
1200. Yes,: 3
1201. _he_: 3
1202. indeed.: 3
1203. yellow: 3
1204. growing: 3
1205. Robin: 3
1206. late: 3
1207. singing: 3
1208. that's: 3
1209. jolly: 3
1210. boy,: 3
1211. neck,: 3
1212. clapping: 3
1213. accompanied: 3
1214. her.: 3
1215. glared: 3
1216. dreadful: 3
1217. produced: 3
1218. bade: 3
1219. creature,: 3
1220. had,: 3
1221. "One: 3
1222. were.: 3
1223. enough,: 3
1224. Bless: 3
1225. capacious: 3
1226. grown: 3
1227. Fezziwig.: 3
1228. two,: 3
1229. Fezziwig,: 3
1230. here!: 3
1231. Miss: 3
1232. girl: 3
1233. pulled: 3
1234. couple: 3
1235. middle: 3
1236. worthy: 3
1237. shone: 3
1238. next.: 3
1239. thus: 3
1240. that,": 3
1241. lies: 3
1242. happiness: 3
1243. care: 3
1244. showed: 3
1245. one.": 3
1246. "This: 3
1247. fear: 3
1248. changed: 3
1249. you.": 3
1250. what,: 3
1251. to-day,: 3
1252. her,: 3
1253. more!": 3
1254. arms,: 3
1255. scene: 3
1256. daughter: 3
1257. torn: 3
1258. precious: 3
1259. mouth,: 3
1260. seeing: 3
1261. death,: 3
1262. parting: 3
1263. range: 3
1264. anything,: 3
1265. minutes,: 3
1266. case: 3
1267. secret: 3
1268. further: 3
1269. hearth: 3
1270. easy: 3
1271. shed: 3
1272. in!: 3
1273. entered: 3
1274. meet: 3
1275. family;: 3
1276. crossed: 3
1277. times: 3
1278. thick: 3
1279. town,: 3
1280. girls: 3
1281. clustered: 3
1282. setting: 3
1283. one;: 3
1284. tea: 3
1285. interest: 3
1286. baker's: 3
1287. themselves,: 3
1288. (which: 3
1289. dressed: 3
1290. potatoes,: 3
1291. tearing: 3
1292. goose,: 3
1293. mother!": 3
1294. alive,: 3
1295. "Well!: 3
1296. heard.: 3
1297. Bob's: 3
1298. jug: 3
1299. goose: 3
1300. table: 3
1301. Hallo!: 3
1302. family.: 3
1303. chestnuts: 3
1304. fire.: 3
1305. side,: 3
1306. loved: 3
1307. unaltered: 3
1308. "Oh,: 3
1309. Spirit!: 3
1310. here.: 3
1311. cast: 3
1312. Scrooge!": 3
1313. Founder: 3
1314. indeed!": 3
1315. he'd: 3
1316. dear,": 3
1317. sure,": 3
1318. fellow!": 3
1319. mild: 3
1320. sake: 3
1321. situation: 3
1322. Peter,: 3
1323. fires: 3
1324. Here,: 3
1325. sisters,: 3
1326. company,: 3
1327. spread: 3
1328. this?": 3
1329. advanced: 3
1330. children's: 3
1331. Ha,: 3
1332. niece.: 3
1333. dear?": 3
1334. niece's: 3
1335. sorry: 3
1336. loses: 3
1337. not,: 3
1338. assure: 3
1339. sometimes,: 3
1340. game: 3
1341. Uncle: 3
1342. presence: 3
1343. hardly: 3
1344. stand: 3
1345. giving: 3
1346. "for: 3
1347. Past,: 3
1348. pipe: 3
1349. then,: 3
1350. Who's: 3
1351. bundle,: 3
1352. bed:: 3
1353. man.: 3
1354. steady: 3
1355. Spirits: 3
1356. Whoop!: 3
1357. By: 2
1358. GEORGE: 2
1359. ALFRED: 2
1360. &: 2
1361. possessed: 2
1362. degree,: 2
1363. attitude: 2
1364. books,: 2
1365. success: 2
1366. wrote: 2
1367. it:: 2
1368. this?: 2
1369. seems: 2
1370. volume: 2
1371. attractive: 2
1372. manner,: 2
1373. illustrations: 2
1374. Hearth,": 2
1375. appearance: 2
1376. loved,: 2
1377. chief: 2
1378. lesson,: 2
1379. attendant: 2
1380. spirits.: 2
1381. mist;: 2
1382. jovial,: 2
1383. cold;: 2
1384. piping: 2
1385. to;: 2
1386. Golden: 2
1387. sun-light;: 2
1388. Heavenly: 2
1389. sky;: 2
1390. bells.: 2
1391. shadow,: 2
1392. toast: 2
1393. Us,: 2
1394. associated: 2
1395. fate: 2
1396. Dickens's: 2
1397. greatest: 2
1398. creation.: 2
1399. caricature: 2
1400. closely: 2
1401. essence: 2
1402. marked: 2
1403. interpretations: 2
1404. aim: 2
1405. favour: 2
1406. wholly: 2
1407. bad,: 2
1408. described: 2
1409. form: 2
1410. First: 2
1411. _"A: 2
1412. _To: 2
1413. _"You: 2
1414. spirit.: 2
1415. _"Why,: 2
1416. GHOST: 2
1417. begin: 2
1418. with.: 2
1419. mourner.: 2
1420. know,: 2
1421. therefore,: 2
1422. friend,: 2
1423. event,: 2
1424. understood,: 2
1425. convinced: 2
1426. Father: 2
1427. play: 2
1428. St.: 2
1429. mind.: 2
1430. name.: 2
1431. stood,: 2
1432. afterwards,: 2
1433. generous: 2
1434. nipped: 2
1435. shrivelled: 2
1436. red,: 2
1437. lips: 2
1438. chin.: 2
1439. heat: 2
1440. warmth: 2
1441. wintry: 2
1442. wind: 2
1443. blew: 2
1444. snow,: 2
1445. looks,: 2
1446. beggars: 2
1447. bestow: 2
1448. Even: 2
1449. sympathy: 2
1450. bleak,: 2
1451. biting: 2
1452. foggy: 2
1453. stones: 2
1454. flaring: 2
1455. neighbouring: 2
1456. brown: 2
1457. dense: 2
1458. dingy: 2
1459. tank,: 2
1460. smaller: 2
1461. room;: 2
1462. necessary: 2
1463. comforter,: 2
1464. uncle!: 2
1465. quickly: 2
1466. "Bah!": 2
1467. heated: 2
1468. humbug,: 2
1469. merry?: 2
1470. enough.": 2
1471. rich: 2
1472. Out: 2
1473. What's: 2
1474. money;: 2
1475. yourself: 2
1476. older,: 2
1477. presented: 2
1478. will,": 2
1479. boiled: 2
1480. pudding,: 2
1481. pleaded: 2
1482. Much: 2
1483. say,": 2
1484. of,: 2
1485. women: 2
1486. creatures: 2
1487. pocket,: 2
1488. tank: 2
1489. sensible: 2
1490. speaker,: 2
1491. why?": 2
1492. ridiculous: 2
1493. happened.: 2
1494. afternoon,": 2
1495. sorry,: 2
1496. last.: 2
1497. word,: 2
1498. outer: 2
1499. fellow,": 2
1500. muttered: 2
1501. shillings: 2
1502. portly: 2
1503. "Scrooge: 2
1504. years,": 2
1505. back.: 2
1506. usually: 2
1507. suffer: 2
1508. greatly: 2
1509. Many: 2
1510. thousands: 2
1511. prisons?": 2
1512. laying: 2
1513. workhouses?": 2
1514. demanded: 2
1515. are.: 2
1516. "Oh!: 2
1517. afraid,: 2
1518. cheer: 2
1519. "a: 2
1520. choose: 2
1521. keenly: 2
1522. idle: 2
1523. cost: 2
1524. enough;: 2
1525. "they: 2
1526. decrease: 2
1527. gentleman.: 2
1528. understand: 2
1529. business,: 2
1530. Good: 2
1531. afternoon,: 2
1532. resumed: 2
1533. facetious: 2
1534. peeping: 2
1535. invisible,: 2
1536. hours: 2
1537. quarters: 2
1538. tremulous: 2
1539. teeth: 2
1540. chattering: 2
1541. ragged: 2
1542. winking: 2
1543. shops,: 2
1544. berries: 2
1545. lamp: 2
1546. windows,: 2
1547. pale: 2
1548. splendid: 2
1549. glorious: 2
1550. should;: 2
1551. stirred: 2
1552. nose: 2
1553. roared: 2
1554. purpose.: 2
1555. gnawed: 2
1556. hungry: 2
1557. bones: 2
1558. keyhole: 2
1559. seized: 2
1560. terror,: 2
1561. leaving: 2
1562. shutting: 2
1563. stool,: 2
1564. to-morrow,: 2
1565. smiled: 2
1566. "you: 2
1567. _me_: 2
1568. pay: 2
1569. year.: 2
1570. excuse: 2
1571. suppose: 2
1572. would;: 2
1573. comforter: 2
1574. times,: 2
1575. Christmas-eve,: 2
1576. Camden: 2
1577. buff.: 2
1578. rooms,: 2
1579. dreary: 2
1580. stone,: 2
1581. threshold.: 2
1582. except: 2
1583. London,: 2
1584. borne: 2
1585. since: 2
1586. key: 2
1587. knocker,: 2
1588. cellar.: 2
1589. phenomenon,: 2
1590. sensation: 2
1591. moment's: 2
1592. expected: 2
1593. hall.: 2
1594. above,: 2
1595. merchant's: 2
1596. separate: 2
